"","year","county","municip_number","municip","production_final","feed_kg","efcr_region","reference_efcr","efcr_score","prop_below_lice","lice_score","proportion_biomass_bad_momb","momb_score","mean_sustain_score","seaarea","prod_area","maxprod_area","prod_prop_area","aqua_score_area"
"288",2009,"Troms",1943,"Kvaenangen",7192775.1968,7590092,1.37566470803413,1.24147946044329,0.902457883227525,1,1,NA,0.950617283950617,0.950190935522049,573.01,12552.6172262264,181971.835391191,0.0689810991862651,6.55452151691365
"289",2010,"Troms",1943,"Kvaenangen",9879592.9308,8905568,1.27685660916767,1.27685660916767,1,1,1,0,0.950617283950617,0.983260445510878,573.01,17241.5715795536,88338.494172657,0.19517619969676,19.1909037066956
"290",2011,"Troms",1943,"Kvaenangen",5162135.87504,7331794,1.29053062695158,1.29053062695158,1,1,1,0,1,1,573.01,9008.80591096142,121986.97818055,0.0738505539306641,7.38505539306641
"291",2012,"Troms",1943,"Kvaenangen",6121205.08008,8982562,1.26235960493737,1.26235960493737,1,0.936507936507937,0.936507936507937,0,1,0.978371562024204,573.01,10682.5449469992,125686.780826335,0.0849933849587534,8.31551108038201
"292",2013,"Troms",1943,"Kvaenangen",8499304.75024,9242326,1.19861379343724,1.19861379343724,1,0.991452991452991,0.991452991452991,0,1,0.997142841571376,573.01,14832.7337223434,188225.773299608,0.0788028836982568,7.85777313748985
"293",2014,"Troms",1943,"Kvaenangen",18548790.46224,13570362,1.15775147187438,1.15775147187438,1,1,1,0,1,1,573.01,32370.7971278686,113206.377398058,0.285944995961189,28.5944995961189
"294",2015,"Troms",1943,"Kvaenangen",3112151.87376,12472272,1.2839955626662,1.26086687479015,0.981986940961054,1,1,0,0.851851851851852,0.942229277418815,573.01,5431.23483666952,134594.780267383,0.0403524923171607,3.80212996780466
"295",2016,"Troms",1943,"Kvaenangen",11099254.16088,13210280,1.22930794511588,1.20884798699381,0.983356523315933,1,1,NA,0.950617283950617,0.97777494195781,573.01,19370.0880628261,181158.02372089,0.106923710388173,10.4547324718709
"296",2017,"Troms",1943,"Kvaenangen",9206061.91488,13259890,1.19277276120228,1.18855767041856,0.996466140977705,1,1,0.444444444444444,0.851851851851852,0.946837694783537,573.01,16066.145293939,213718.888359355,0.0751741945565655,7.11777610811476
"297",2018,"Troms",1943,"Kvaenangen",10464365.34728,12547636,1.18247659218115,1.15415056810372,0.976045171409957,0.994318181818182,0.994318181818182,0,0.950617283950617,0.973494871978478,573.01,18262.0989987609,127051.292751092,0.143738002214102,13.9928208063859
"298",2005,"Troms",1943,"Kvaenangen",5281759.44304,5990889,1.3283143565941,1.17623110307944,0.885506580005196,0.988636363636364,0.988636363636364,NA,0.950617283950617,0.940613829687108,573.01,9217.56940199997,53364.7520671726,0.172727672198259,16.2470037239344
"299",2006,"Finnmark",2017,"Kvalsund",2650313.8552,3351825,1.42949957428834,1.2919824295079,0.903800499661639,1,1,NA,1,0.966846491725672,299.43,8851.19679123668,107012.283562146,0.0827119700337625,7.99697780508621
"300",2007,"Finnmark",2017,"Kvalsund",1110143.96656,1063448,1.46161742250782,1.37651251017426,0.94177346888248,1,1,NA,1,0.980201773281841,299.43,3707.52418448385,135874.461723506,0.0272863946429342,2.67461724154722
"301",2008,"Finnmark",2017,"Kvalsund",1368693.0252,2578180,1.45203399100122,1.28814565946673,0.887131890472144,1,1,NA,1,0.9608657881245,299.43,4570.99497445146,164736.639884867,0.0277472878993167,2.66614196556943
