"year","county","municip_number","municip","production_final","feed_kg","gapfilled"
2005,"Troms",1931,"Lenvik",1024499.0448,1341380,"n"
2006,"Nordland",1851,"Lodingen",4298536.7108,5947243,"n"
2007,"Nordland",1851,"Lodingen",2824248.02528,4112353,"n"
2008,"Nordland",1851,"Lodingen",8944448.06016,11309462,"n"
2009,"Nordland",1851,"Lodingen",6729154.24992,9094282,"n"
2010,"Nordland",1851,"Lodingen",4965684.41152,8317252,"n"
2011,"Nordland",1851,"Lodingen",4803973.37336,5039121,"n"
2012,"Nordland",1851,"Lodingen",7898383.43408,12235702,"n"
2013,"Nordland",1851,"Lodingen",4828692.0196,5904705,"n"
2014,"Nordland",1851,"Lodingen",4824467.3408,7226511,"n"
2015,"Nordland",1851,"Lodingen",5885705.39728,8171504,"n"
2016,"Nordland",1851,"Lodingen",5733600.596,8659721,"n"
2017,"Nordland",1851,"Lodingen",6434988.75776,9085956,"n"
2018,"Nordland",1851,"Lodingen",7026404.53784,9712485,"n"
2005,"Nordland",1851,"Lodingen",1511469.8292,2771533,"n"
2006,"Finnmark",2014,"Loppa",7172847.19528,9962016,"n"
2007,"Finnmark",2014,"Loppa",5343797.50008,9113491,"n"
2008,"Finnmark",2014,"Loppa",5626973.3904,8978921,"n"
2009,"Finnmark",2014,"Loppa",9933567.90928,14762235,"n"
2010,"Finnmark",2014,"Loppa",5992574.76152,9406850,"n"
2011,"Finnmark",2014,"Loppa",9744664.13224,13313436,"n"
2012,"Finnmark",2014,"Loppa",12165639.61424,16645075,"n"
2013,"Finnmark",2014,"Loppa",11165672.82368,19368013,"n"
2014,"Finnmark",2014,"Loppa",9402568.38304,13966832,"n"
2015,"Finnmark",2014,"Loppa",11160438.29912,15752388,"n"
2016,"Finnmark",2014,"Loppa",2003496.50184,3492166,"n"
2017,"Finnmark",2014,"Loppa",18415068.60544,22679513,"n"
2018,"Finnmark",2014,"Loppa",7270209.53984,12005937,"n"
2005,"Finnmark",2014,"Loppa",4155180.34168,3685929,"n"
2006,"Nordland",1834,"Luroy",12037893.29208,11731972,"n"
2007,"Nordland",1834,"Luroy",11962957.73784,14395368,"n"
2008,"Nordland",1834,"Luroy",9053767.09432,12073795,"n"
2009,"Nordland",1834,"Luroy",12994627.19968,15830238,"n"
2010,"Nordland",1834,"Luroy",6649355.87624,10818297,"n"
2011,"Nordland",1834,"Luroy",8874902.86664,13951461,"n"
2012,"Nordland",1834,"Luroy",8409545.28736,15337617,"n"
2013,"Nordland",1834,"Luroy",11141077.72192,15905140,"n"
2014,"Nordland",1834,"Luroy",8144403.56472,12958970,"n"
2015,"Nordland",1834,"Luroy",9879578.53064,14481880,"n"
2016,"Nordland",1834,"Luroy",10901158.928,14239763,"n"
2017,"Nordland",1834,"Luroy",17312149.01392,21795762,"n"
2018,"Nordland",1834,"Luroy",14414279.5284,15567940,"n"
2005,"Nordland",1834,"Luroy",5763930.6316,10551569,"n"
2006,"Troms",1938,"Lyngen",656093.44296,1598630,"n"
2007,"Troms",1938,"Lyngen",3510591.2864,5372027,"n"
2008,"Troms",1938,"Lyngen",935957.79632,1367821,"n"
2009,"Troms",1938,"Lyngen",3879807.0344,5379085,"n"
2010,"Troms",1938,"Lyngen",852146.668,1380697,"n"
2011,"Troms",1938,"Lyngen",4017549.91176,5441600,"n"
2012,"Troms",1938,"Lyngen",1021426.18624,1391481,"n"
2013,"Troms",1938,"Lyngen",3762137.3328,4803047,"n"
2014,"Troms",1938,"Lyngen",1373660.1868,1182236,"n"
2015,"Troms",1938,"Lyngen",3528970.97696,3914642,"n"
2016,"Troms",1938,"Lyngen",928112.87624,1896117,"n"
2017,"Troms",1938,"Lyngen",5540668.278,6282006,"n"
2018,"Troms",1938,"Lyngen",3224675.132,4058139,"n"
2005,"Troms",1938,"Lyngen",2839127.06088,2356582,"n"
2012,"Finnmark",2018,"Masoy",5872288.71768,9476443,"n"
2013,"Finnmark",2018,"Masoy",3370927.40144,6157892,"n"
2014,"Finnmark",2018,"Masoy",12748693.59104,14881075,"n"
2015,"Finnmark",2018,"Masoy",1084568.18344,7490718,"n"
2016,"Finnmark",2018,"Masoy",8459452.40888,8012747,"n"
2017,"Finnmark",2018,"Masoy",10734765.20904,13842776,"n"
2018,"Finnmark",2018,"Masoy",8455885.01216,11992067,"n"
2011,"Finnmark",2018,"Masoy",1778450.89208,2816696,"n"
2006,"Nordland",1837,"Meloy",5084735.64536,6536083,"n"
2007,"Nordland",1837,"Meloy",6986564.37264,9441737,"n"
2008,"Nordland",1837,"Meloy",5084721.9008,6406677,"n"
2009,"Nordland",1837,"Meloy",10454189.55256,13328628,"n"
2010,"Nordland",1837,"Meloy",8756290.71104,12668813,"n"
2011,"Nordland",1837,"Meloy",6908696.99456,9751487,"n"
2012,"Nordland",1837,"Meloy",8390003.17616,12624949,"n"
2013,"Nordland",1837,"Meloy",4097349.05776,6242292,"n"
2014,"Nordland",1837,"Meloy",10617744.39736,14434958,"n"
2015,"Nordland",1837,"Meloy",8852728.70568,10300048,"n"
