"","year","kommunenr","kommune","biomchange_salmon","biomchange_trout","feed_used_kg","uttak_laks_kg","uttak_regnb_kg","lost_final_kg","production_final","efcr","county"
"218",2008,1837,"Meloy",347997.706,0,6406677,7468181.875,0,29934,7786245.581,0.822819795927523,"Nordland"
"219",2008,1838,"Gildeskal",0,1603587.719,13829634,3450763.125,5315620.41,203838,10166133.254,1.36036324278541,"Nordland"
"220",2008,1840,"Saltdal",0,0,4169200,4160815.875,0,5394,4155421.875,1.00331569824063,"Nordland"
"221",2008,1841,"Fauske",1409609.259,0,1326766,0,0,0,1409609.259,0.941229629082622,"Nordland"
"222",2008,1845,"Sorfold",0,0,11642144,13461206.625,0,296742,13164464.625,0.884361372196706,"Nordland"
"223",2008,1848,"Steigen",6231371.129,0,16507492,9441020.25,0,10776,15661615.379,1.05400953864147,"Nordland"
"224",2008,1849,"Hamaroy",0,0,1795462,5537533.5,0,11646,5525887.5,0.32491830497816,"Nordland"
"225",2008,1850,"Tysfjord",1563132.921,0,4702270,2304246.375,0,8826,3858553.296,1.21866140993171,"Nordland"
"226",2008,1851,"Lodingen",1246813.204,436298.3,11309462,6865697.625,0,708,8548101.129,1.32303792729264,"Nordland"
"227",2008,1854,"Ballangen",232677.342,0,1338536,806288.625,267354.925,0,1306320.892,1.02466094525265,"Nordland"
"228",2008,1859,"Flakstad",0,0,3667300,3906371.875,0,0,3906371.875,0.938799509455305,"Nordland"
"229",2008,1860,"Vestvagoy",0,0,4934450,5334599.75,0,5598,5329001.75,0.925961414818451,"Nordland"
"230",2008,1865,"Vagan",1368305.56,0,13981797,8655378,487885.425,25776,10485792.985,1.33340387512905,"Nordland"
"231",2008,1866,"Hadsel",0,723551.42,5495530,6716025.625,350134,599628,7190083.045,0.764320796520091,"Nordland"
"232",2008,1867,"Bo",1321319.231,0,7198597,3953356.875,0,18630,5256046.106,1.36958406658239,"Nordland"
"233",2008,1868,"Oksnes",1969429.465,256814.739,12166894,6700646.08,1012850.165,12546,9927194.449,1.225612539626,"Nordland"
"234",2008,1870,"Sortland",655483.168,0,2302037,1569475,0,5592,2219366.168,1.0372497486859,"Nordland"
"235",2009,2004,"Hammerfest",0,0,15294918,12759531.675,0,149652,12609879.675,1.21293132006036,"Finnmark"
"236",2009,2012,"Alta",9345178.312,0,16360587,6295742.5,0,28872,15612048.812,1.04794618547597,"Finnmark"
"237",2009,2014,"Loppa",1510953.548,0,14762235,9365279.934,0,30294,10845939.482,1.36108402822084,"Finnmark"
"238",2009,2017,"Kvalsund",1736701.066,0,1886000,377742.375,0,316872,1797571.441,1.04919334886118,"Finnmark"
