Year,average_prop_locs_below_thr,Komnum_new,Kommune_new,replaced
2015,1,1940,Kafjord,1
2016,1,1940,Kafjord,1
2017,1,1940,Kafjord,1
2018,1,1940,Kafjord,1
2004,NA,1940,Kafjord,1
2005,NA,1940,Kafjord,1
2006,NA,1940,Kafjord,1
2007,NA,1940,Kafjord,1
2008,NA,1940,Kafjord,1
2009,NA,1940,Kafjord,1
2010,NA,1940,Kafjord,1
2011,NA,1940,Kafjord,1
2019,NA,1940,Kafjord,1
2012,1,1936,Karlsoy,1
2013,1,1936,Karlsoy,1
2014,0.9950980392156863,1936,Karlsoy,0.9950980392156863
2015,1,1936,Karlsoy,1
2016,0.9901960784313726,1936,Karlsoy,0.9901960784313726
2017,0.9967320261437909,1936,Karlsoy,0.9967320261437909
2018,1,1936,Karlsoy,1
2019,1,1936,Karlsoy,1
2004,NA,1936,Karlsoy,0.9977532679738562
2005,NA,1936,Karlsoy,0.9977532679738562
2006,NA,1936,Karlsoy,0.9977532679738562
2007,NA,1936,Karlsoy,0.9977532679738562
2008,NA,1936,Karlsoy,0.9977532679738562
2009,NA,1936,Karlsoy,0.9977532679738562
2010,NA,1936,Karlsoy,0.9977532679738562
2011,NA,1936,Karlsoy,0.9977532679738562
2012,0.9204545454545454,1911,Kvaefjord,0.9204545454545454
2013,0.9705882352941176,1911,Kvaefjord,0.9705882352941176
2014,1,1911,Kvaefjord,1
2015,0.8962264150943396,1911,Kvaefjord,0.8962264150943396
2016,1,1911,Kvaefjord,1
2017,0.8968253968253969,1911,Kvaefjord,0.8968253968253969
2018,1,1911,Kvaefjord,1
2019,1,1911,Kvaefjord,1
2004,NA,1911,Kvaefjord,0.96051182408355
2005,NA,1911,Kvaefjord,0.96051182408355
2006,NA,1911,Kvaefjord,0.96051182408355
2007,NA,1911,Kvaefjord,0.96051182408355
2008,NA,1911,Kvaefjord,0.96051182408355
2009,NA,1911,Kvaefjord,0.96051182408355
2010,NA,1911,Kvaefjord,0.96051182408355
2011,NA,1911,Kvaefjord,0.96051182408355
2012,0.9423076923076923,1943,Kvaenangen,0.9423076923076923
2013,0.9924242424242424,1943,Kvaenangen,0.9924242424242424
2014,1,1943,Kvaenangen,1
