Year,below_lice,Municip_number,Municip,score_final,gf
2009,0.9090909090909091,1851,Lodingen,0.9090909090909091,n
2010,0.9545454545454546,1851,Lodingen,0.9545454545454546,n
2011,0.9055555555555556,1851,Lodingen,0.9055555555555556,n
2012,0.8176392572944298,1851,Lodingen,0.8176392572944298,n
2013,0.9864864864864865,1851,Lodingen,0.9864864864864865,n
2014,1,1851,Lodingen,1,n
2015,0.991869918699187,1851,Lodingen,0.991869918699187,n
2016,0.9920634920634921,1851,Lodingen,0.9920634920634921,n
2017,0.9727574750830564,1851,Lodingen,0.9727574750830564,n
2018,1,1851,Lodingen,1,n
2019,NA,1851,Lodingen,0.9023412698412698,y
2005,0.8968253968253969,2014,Loppa,0.8968253968253969,n
2006,0.9722222222222222,2014,Loppa,0.9722222222222222,n
2007,0.8361904761904762,2014,Loppa,0.8361904761904762,n
2008,0.9777777777777777,2014,Loppa,0.9777777777777777,n
2009,0.9722222222222222,2014,Loppa,0.9722222222222222,n
2010,0.8388888888888889,2014,Loppa,0.8388888888888889,n
2011,0.892550505050505,2014,Loppa,0.892550505050505,n
2012,0.9615384615384616,2014,Loppa,0.9615384615384616,n
2013,0.9641109168917845,2014,Loppa,0.9641109168917845,n
2014,0.9956709956709957,2014,Loppa,0.9956709956709957,n
2015,0.9548030284503138,2014,Loppa,0.9548030284503138,n
2016,1,2014,Loppa,1,n
2017,1,2014,Loppa,1,n
2018,1,2014,Loppa,1,n
2019,NA,2014,Loppa,0.931047619047619,y
2005,0.8344155844155844,1834,Luroy,0.8344155844155844,n
2006,0.9604978354978355,1834,Luroy,0.9604978354978355,n
2007,0.9565656565656565,1834,Luroy,0.9565656565656565,n
2008,0.8611832611832612,1834,Luroy,0.8611832611832612,n
2009,0.8873015873015873,1834,Luroy,0.8873015873015873,n
2010,0.8231634527089072,1834,Luroy,0.8231634527089072,n
2011,0.8129443788534698,1834,Luroy,0.8129443788534698,n
2012,0.879389507154213,1834,Luroy,0.879389507154213,n
2013,0.9462657790388883,1834,Luroy,0.9462657790388883,n
2014,0.944006034237774,1834,Luroy,0.944006034237774,n
2015,0.9279404020342451,1834,Luroy,0.9279404020342451,n
2016,0.9788492063492064,1834,Luroy,0.9788492063492064,n
2017,0.9619258185821653,1834,Luroy,0.9619258185821653,n
2018,0.9768438798044061,1834,Luroy,0.9768438798044061,n
2019,NA,1834,Luroy,0.899992784992785,y
2012,1,1938,Lyngen,1,n
2013,1,1938,Lyngen,1,n
2015,1,1938,Lyngen,1,n
2017,1,1938,Lyngen,1,n
2018,1,1938,Lyngen,1,n
2005,NA,1938,Lyngen,1,y
2006,NA,1938,Lyngen,1,y
2007,NA,1938,Lyngen,1,y
2008,NA,1938,Lyngen,1,y
2009,NA,1938,Lyngen,1,y
2010,NA,1938,Lyngen,1,y
2011,NA,1938,Lyngen,1,y
2014,NA,1938,Lyngen,1,y
2016,NA,1938,Lyngen,1,y
2019,NA,1938,Lyngen,1,y
2005,0.9545454545454546,2018,Masoy,0.9545454545454546,n
2006,0.9375,2018,Masoy,0.9375,n
2007,1,2018,Masoy,1,n
2008,1,2018,Masoy,1,n
2009,1,2018,Masoy,1,n
2010,0.9558080808080808,2018,Masoy,0.9558080808080808,n
2011,0.9365079365079365,2018,Masoy,0.9365079365079365,n
2012,1,2018,Masoy,1,n
2013,1,2018,Masoy,1,n
2014,1,2018,Masoy,1,n
2015,0.9930555555555556,2018,Masoy,0.9930555555555556,n
2016,1,2018,Masoy,1,n
2017,0.9762393162393163,2018,Masoy,0.9762393162393163,n
2018,1,2018,Masoy,1,n
2019,NA,2018,Masoy,0.9784090909090909,y
2005,1,1837,Meloy,1,n
2006,0.95,1837,Meloy,0.95,n
2007,0.9583333333333334,1837,Meloy,0.9583333333333334,n
2008,1,1837,Meloy,1,n
2009,0.7171717171717172,1837,Meloy,0.7171717171717172,n
2010,0.8777777777777778,1837,Meloy,0.8777777777777778,n
2011,0.7166666666666667,1837,Meloy,0.7166666666666667,n
2012,0.9311255411255411,1837,Meloy,0.9311255411255411,n
2013,0.9142857142857143,1837,Meloy,0.9142857142857143,n
2014,0.9573311748381128,1837,Meloy,0.9573311748381128,n
2015,0.9420289855072463,1837,Meloy,0.9420289855072463,n
2016,0.9615384615384616,1837,Meloy,0.9615384615384616,n
