"","Year","Kommune.x","Komnum","examinations","Kommune.y","nlocs"
"366",2018,"Gildeskal",1838,4,"GILDESKÅL",21
"367",2018,"Gratangen",1919,2,"GRATANGEN",28
"368",2018,"Hadsel",1866,3,"HADSEL",27
"369",2018,"Hamaroy",1849,1,"HAMARØY",18
"370",2018,"Hammerfest",2004,4,"HAMMERFEST",14
"371",2018,"Harstad",1903,7,"HARSTAD",13
"372",2018,"Hasvik",2015,3,"HASVIK",14
"373",2018,"Heroy",1818,3,"HERØY I NORDLAND",28
"374",2018,"Ibestad",1917,5,"IBESTAD",15
"375",2018,"Kafjord",1940,1,"GAIVUOTNA-KÅFJORD",3
"376",2018,"Karlsoy",1936,5,"KARLSØY",34
"377",2018,"Kvaefjord",1911,2,"KVÆFJORD",12
"378",2018,"Kvaenangen",1943,5,"KVÆNANGEN",23
"379",2018,"Kvalsund",2017,4,"KVALSUND",17
"380",2018,"Lavangen",1920,1,"LAVANGEN",8
"381",2018,"Lebesby",2022,2,"LEBESBY",16
"382",2018,"Lenvik",1931,5,"LENVIK",10
"383",2018,"Lodingen",1851,3,"LØDINGEN",11
"384",2018,"Loppa",2014,5,"LOPPA",18
"385",2018,"Luroy",1834,5,"LURØY",35
"386",2018,"Lyngen",1938,1,"LYNGEN",3
"387",2018,"Masoy",2018,2,"MÅSØY",12
"388",2018,"Meloy",1837,4,"MELØY",16
"389",2018,"Nesna",1828,1,"NESNA",5
"390",2018,"Nesseby",2027,1,"UNJARGGA-NESSEBY",12
"391",2018,"Nordkapp",2019,4,"NORDKAPP",7
"392",2018,"Nordreisa",1942,3,"NORDREISA",11
"393",2018,"Oksnes",1868,6,"ØKSNES",22
"394",2018,"Rodoy",1836,7,"RØDØY",16
"395",2018,"Salangen",1923,2,"SALANGEN",9
"396",2018,"Skanland",1913,3,"SKÅNLAND",12
"397",2018,"Skjervoy",1941,4,"SKJERVØY",20
"398",2018,"Somna",1812,1,"SØMNA",12
"399",2018,"Sor-Varanger",2030,1,"SØR-VARANGER",11
"400",2018,"Sorfold",1845,5,"SØRFOLD",9
"401",2018,"Sortland",1870,2,"SORTLAND",15
"402",2018,"Steigen",1848,5,"STEIGEN",33
"403",2018,"Torsken",1928,3,"TORSKEN",23
"404",2018,"Traena",1835,1,"TRÆNA",3
"405",2018,"Tranoy",1927,3,"TRANØY",26
"406",2018,"Tromso",1902,4,"TROMSØ",51
"407",2018,"Tysfjord",1850,4,"TYSFJORD",7
"408",2018,"Vagan",1865,2,"VÅGAN",29
"409",2018,"Vega",1815,2,"VEGA",9
"410",2018,"Vestvagoy",1860,1,"VESTVÅGØY",25
"411",2018,"Vevelstad",1816,4,"VEVELSTAD",11
