"","Week","Year","Municip_number","Municip_name","locs_above_thr_count","locs_below_thr_count","locs_active","locs_above_thr_prop","locs_below_thr_prop"
"406",1,2019,1859,"Flakstad",0,1,1,0,1
"407",1,2019,1860,"Vestvagoy",0,5,5,0,1
"408",1,2019,1865,"Vagan",0,2,2,0,1
"409",1,2019,1866,"Hadsel",0,4,4,0,1
"410",1,2019,1867,"Bo",0,3,3,0,1
"411",1,2019,1868,"Oksnes",1,3,4,0.25,0.75
"412",1,2019,1870,"Sortland",0,5,5,0,1
"413",1,2019,1902,"Tromso",0,9,9,0,1
"414",1,2019,1903,"Harstad",0,8,8,0,1
"415",1,2019,1911,"Kvaefjord",0,2,2,0,1
"416",1,2019,1913,"Skanland",0,3,3,0,1
"417",1,2019,1917,"Ibestad",0,6,6,0,1
"418",1,2019,1919,"Gratangen",0,2,2,0,1
"419",1,2019,1926,"Dyroy",0,2,2,0,1
"420",1,2019,1927,"Tranoy",0,5,5,0,1
"421",1,2019,1928,"Torsken",0,3,3,0,1
"422",1,2019,1929,"Berg",0,2,2,0,1
"423",1,2019,1931,"Lenvik",0,5,5,0,1
"424",1,2019,1936,"Karlsoy",0,4,4,0,1
"425",1,2019,1941,"Skjervoy",0,5,5,0,1
"426",1,2019,1942,"Nordreisa",0,2,2,0,1
"427",1,2019,1943,"Kvaenangen",0,5,5,0,1
"428",1,2019,2004,"Hammerfest",0,5,5,0,1
"429",1,2019,2012,"Alta",0,14,14,0,1
"430",1,2019,2014,"Loppa",0,7,7,0,1
"431",1,2019,2015,"Hasvik",0,1,1,0,1
"432",1,2019,2017,"Kvalsund",1,5,6,0.166666666666667,0.833333333333333
"433",1,2019,2018,"Masoy",0,4,4,0,1
"434",1,2019,2019,"Nordkapp",0,3,3,0,1
"435",1,2019,2022,"Lebesby",0,2,2,0,1
"436",1,2019,2027,"Nesseby",0,2,2,0,1
"437",1,2019,2030,"Sor-Varanger",0,1,1,0,1
"438",2,2012,1805,"Narvik",0,1,1,0,1
"439",2,2012,1811,"Bindal",0,1,1,0,1
"440",2,2012,1813,"Bronnoy",0,4,4,0,1
"441",2,2012,1815,"Vega",0,1,1,0,1
"442",2,2012,1816,"Vevelstad",0,4,4,0,1
"443",2,2012,1818,"Heroy",0,2,2,0,1
"444",2,2012,1820,"Alstahaug",1,0,1,1,0
"445",2,2012,1824,"Vefsn",0,1,1,0,1
"446",2,2012,1827,"Donna",0,1,1,0,1
"447",2,2012,1828,"Nesna",0,2,2,0,1
"448",2,2012,1833,"Rana",1,0,1,1,0
"449",2,2012,1834,"Luroy",0,3,3,0,1
"450",2,2012,1835,"Traena",0,2,2,0,1
"451",2,2012,1836,"Rodoy",0,5,5,0,1
"452",2,2012,1837,"Meloy",0,3,3,0,1
"453",2,2012,1838,"Gildeskal",0,3,3,0,1
"454",2,2012,1840,"Saltdal",0,1,1,0,1
"455",2,2012,1841,"Fauske",0,2,2,0,1
"456",2,2012,1845,"Sorfold",0,4,4,0,1
"457",2,2012,1848,"Steigen",0,6,6,0,1
"458",2,2012,1849,"Hamaroy",0,1,1,0,1
"459",2,2012,1850,"Tysfjord",0,1,1,0,1
"460",2,2012,1865,"Vagan",1,0,1,1,0
"461",2,2012,1866,"Hadsel",1,4,5,0.2,0.8
"462",2,2012,1868,"Oksnes",0,4,4,0,1
"463",2,2012,1870,"Sortland",0,3,3,0,1
"464",2,2012,1902,"Tromso",0,6,6,0,1
"465",2,2012,1903,"Harstad",0,2,2,0,1
"466",2,2012,1911,"Kvaefjord",0,2,2,0,1
"467",2,2012,1913,"Skanland",0,1,1,0,1
"468",2,2012,1917,"Ibestad",0,4,4,0,1
"469",2,2012,1920,"Lavangen",0,1,1,0,1
"470",2,2012,1925,"Sorreisa",0,1,1,0,1
"471",2,2012,1926,"Dyroy",0,4,4,0,1
"472",2,2012,1927,"Tranoy",1,4,5,0.2,0.8
"473",2,2012,1931,"Lenvik",0,1,1,0,1
"474",2,2012,1936,"Karlsoy",0,3,3,0,1
"475",2,2012,1938,"Lyngen",0,1,1,0,1
"476",2,2012,1940,"Kafjord",0,1,1,0,1
"477",2,2012,1941,"Skjervoy",0,1,1,0,1
"478",2,2012,1942,"Nordreisa",0,1,1,0,1
"479",2,2012,1943,"Kvaenangen",0,3,3,0,1
"480",2,2012,2012,"Alta",0,4,4,0,1
"481",2,2012,2018,"Masoy",0,1,1,0,1
"482",2,2012,2022,"Lebesby",0,1,1,0,1
"483",2,2012,2030,"Sor-Varanger",0,1,1,0,1
