"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr"
"398",1940,"Kafjord",2015,0,0
"399",1940,"Kafjord",2016,0,0
"400",1940,"Kafjord",2017,0,0
"401",1940,"Kafjord",2018,0,0
"402",1941,"Skjervoy",2012,0.142857142857143,0.0476190476190476
"403",1941,"Skjervoy",2013,0.0638297872340425,0.0156028368794326
"404",1941,"Skjervoy",2014,0.02,0.005
"405",1941,"Skjervoy",2015,0,0
"406",1941,"Skjervoy",2016,0.0192307692307692,0.00480769230769231
"407",1941,"Skjervoy",2017,0.0961538461538462,0.0205128205128205
"408",1941,"Skjervoy",2018,0.0961538461538462,0.0179487179487179
"409",1941,"Skjervoy",2019,0,0
"410",1942,"Nordreisa",2012,0,0
"411",1942,"Nordreisa",2013,0.195121951219512,0.0975609756097561
"412",1942,"Nordreisa",2014,0,0
"413",1942,"Nordreisa",2015,0,0
"414",1942,"Nordreisa",2016,0,0
"415",1942,"Nordreisa",2017,0,0
"416",1942,"Nordreisa",2018,0,0
"417",1942,"Nordreisa",2019,0,0
"418",1943,"Kvaenangen",2012,0.179487179487179,0.0576923076923077
"419",1943,"Kvaenangen",2013,0.0227272727272727,0.00757575757575758
"420",1943,"Kvaenangen",2014,0,0
"421",1943,"Kvaenangen",2015,0,0
"422",1943,"Kvaenangen",2016,0,0
"423",1943,"Kvaenangen",2017,0,0
"424",1943,"Kvaenangen",2018,0.0196078431372549,0.00490196078431373
"425",1943,"Kvaenangen",2019,0,0
"426",2004,"Hammerfest",2012,0.333333333333333,0.133333333333333
"427",2004,"Hammerfest",2013,0.269230769230769,0.0493589743589744
"428",2004,"Hammerfest",2014,0,0
"429",2004,"Hammerfest",2015,0.150943396226415,0.0311320754716981
"430",2004,"Hammerfest",2016,0.173076923076923,0.0336538461538462
"431",2004,"Hammerfest",2017,0.0192307692307692,0.00641025641025641
"432",2004,"Hammerfest",2018,0.0384615384615385,0.00641025641025641
"433",2004,"Hammerfest",2019,0,0
"434",2012,"Alta",2012,0.102040816326531,0.0178814382896016
"435",2012,"Alta",2013,0.134615384615385,0.0175844988344988
"436",2012,"Alta",2014,0.0961538461538462,0.00876666068973761
"437",2012,"Alta",2015,0.471698113207547,0.0363912816743005
"438",2012,"Alta",2016,0.0769230769230769,0.00674104207758054
"439",2012,"Alta",2017,0.0769230769230769,0.006578357539896
"440",2012,"Alta",2018,0.192307692307692,0.0176129426129426
"441",2012,"Alta",2019,0.0769230769230769,0.00549450549450549
"442",2014,"Loppa",2012,0.113636363636364,0.0261363636363636
"443",2014,"Loppa",2013,0.173076923076923,0.0497252747252747
"444",2014,"Loppa",2014,0.0192307692307692,0.00961538461538462
"445",2014,"Loppa",2015,0.207547169811321,0.0462264150943396
"446",2014,"Loppa",2016,0.0238095238095238,0.00793650793650794
"447",2014,"Loppa",2017,0,0
"448",2014,"Loppa",2018,0,0
"449",2014,"Loppa",2019,0,0
"450",2015,"Hasvik",2014,0,0
"451",2015,"Hasvik",2015,0,0
"452",2015,"Hasvik",2016,0,0
"453",2015,"Hasvik",2017,0,0
"454",2015,"Hasvik",2018,0.0612244897959184,0.0204081632653061
"455",2015,"Hasvik",2019,0,0
"456",2017,"Kvalsund",2012,0.0277777777777778,0.0138888888888889
"457",2017,"Kvalsund",2013,0,0
"458",2017,"Kvalsund",2014,0,0
"459",2017,"Kvalsund",2015,0,0
"460",2017,"Kvalsund",2016,0,0
"461",2017,"Kvalsund",2017,0.0192307692307692,0.00320512820512821
"462",2017,"Kvalsund",2018,0.0961538461538462,0.0173076923076923
"463",2017,"Kvalsund",2019,0.153846153846154,0.0256410256410256
"464",2018,"Masoy",2012,0,0
"465",2018,"Masoy",2013,0,0
"466",2018,"Masoy",2014,0,0
"467",2018,"Masoy",2015,0.0188679245283019,0.00471698113207547
"468",2018,"Masoy",2016,0,0
"469",2018,"Masoy",2017,0.0576923076923077,0.0192307692307692
"470",2018,"Masoy",2018,0,0
"471",2018,"Masoy",2019,0,0
"472",2019,"Nordkapp",2012,0,0
"473",2019,"Nordkapp",2013,0,0
"474",2019,"Nordkapp",2014,0.0222222222222222,0.00740740740740741
"475",2019,"Nordkapp",2015,0,0
"476",2019,"Nordkapp",2016,0,0
"477",2019,"Nordkapp",2017,0.0961538461538462,0.0288461538461538
"478",2019,"Nordkapp",2018,0.0196078431372549,0.0065359477124183
"479",2019,"Nordkapp",2019,0,0
"480",2022,"Lebesby",2012,0,0
"481",2022,"Lebesby",2013,0.146341463414634,0.0528455284552845
"482",2022,"Lebesby",2014,0.18,0.043
"483",2022,"Lebesby",2015,0,0
"484",2022,"Lebesby",2016,0,0
"485",2022,"Lebesby",2017,0,0
"486",2022,"Lebesby",2018,0,0
"487",2022,"Lebesby",2019,0,0
"488",2027,"Nesseby",2012,0,0
"489",2027,"Nesseby",2013,0,0
"490",2027,"Nesseby",2014,0,0
"491",2027,"Nesseby",2015,0,0
"492",2027,"Nesseby",2016,0.0212765957446809,0.0106382978723404
"493",2027,"Nesseby",2017,0,0
"494",2027,"Nesseby",2018,0,0
"495",2027,"Nesseby",2019,0,0
"496",2028,"Batsfjord",2016,0,0
"497",2028,"Batsfjord",2017,0,0
"498",2028,"Batsfjord",2018,0,0
"499",2030,"Sor-Varanger",2012,0,0
"500",2030,"Sor-Varanger",2013,0.136363636363636,0.0492424242424242
"501",2030,"Sor-Varanger",2014,0,0
"502",2030,"Sor-Varanger",2015,0,0
"503",2030,"Sor-Varanger",2016,0,0
"504",2030,"Sor-Varanger",2017,0,0
"505",2030,"Sor-Varanger",2018,0,0
"506",2030,"Sor-Varanger",2019,0,0
