"","year","county","municip_number","municip","seaarea","lice_score","momb_score","prr_score","escapees_score","sustainability","production_searea","production_max","aquaculture_score"
"686",2016,"Nordland",1816,"Vevelstad",122.2,0.918918918918919,1,0.999579124579124,NA,0.972071305788892,37512.7006628478,206784.422546882,17.634316680085
"687",2017,"Nordland",1816,"Vevelstad",122.2,1,1,0.860066083985515,NA,0.950992898740582,31605.4417184943,242862.37313563,12.3759601982732
"688",2018,"Nordland",1816,"Vevelstad",122.2,1,1,0.970583859334008,0.817994505494505,0.943943201280821,52732.3903355155,143135.447262345,34.7757192900401
"689",2005,"Nordland",1816,"Vevelstad",122.2,0.681356837606838,1,0.718750561293218,NA,0.788226330856374,3476.83590834697,59747.5723235912,4.58685349788502
"690",2016,"Finnmark",2028,"Batsfjord",1379.46,1,1,0.962317316431914,NA,0.987277941051828,646.828236411349,206784.422546882,0.308823673269489
"691",2017,"Finnmark",2028,"Batsfjord",1379.46,1,1,0.969661318220828,NA,0.989783076038057,2395.19906195178,242862.37313563,0.976160886782627
"692",2018,"Finnmark",2028,"Batsfjord",1379.46,1,1,0.999579124579124,1,0.999894764534191,2395.19906195178,143135.447262345,1.67320328253366
"693",2005,"Troms",1929,"Berg",836.66,0.8,1,0.886304495062319,NA,0.891711387876975,3471.78113451103,59747.5723235912,5.18151056764788
"694",2006,"Troms",1929,"Berg",836.66,0.972902334045191,1,0.997220422713324,NA,0.989965674698511,3831.67613726006,121604.867684256,3.11930593296466
"695",2007,"Troms",1929,"Berg",836.66,0.972902334045191,1,0.941433867425074,NA,0.971150089054717,1237.69818803337,149998.637316471,0.801334416789056
"696",2008,"Troms",1929,"Berg",836.66,0.972902334045191,1,0.754790209721884,NA,0.902191022497868,1064.09367126431,178392.406948684,0.538148329142515
"697",2009,"Troms",1929,"Berg",836.66,0.972902334045191,1,0.839511631808163,NA,0.934756845669298,2145.80532534124,206786.176580898,0.96999047542796
"698",2010,"Troms",1929,"Berg",836.66,0.972902334045191,1,0.819294882868052,NA,0.92719232755542,3227.51697941816,100384.652468928,2.98106225082328
"699",2011,"Troms",1929,"Berg",836.66,0.972902334045191,1,0.999579124579124,NA,0.990745574256009,5185.36445868095,138621.566114261,3.70604447226343
"700",2012,"Troms",1929,"Berg",836.66,1,1,0.999579124579124,NA,0.999859688506647,4966.42861018813,143049.209439033,3.47134512846755
"701",2013,"Troms",1929,"Berg",836.66,0.947916666666667,1,0.999579124579124,NA,0.982190612559074,10137.7087825401,213892.924204099,4.65520887898438
"702",2014,"Troms",1929,"Berg",836.66,1,1,0.921239023069055,NA,0.973025246298409,1999.77176033275,128643.610679612,1.51257291315034
"703",2015,"Troms",1929,"Berg",836.66,0.993197278911565,1,0.999579124579124,NA,0.997587272289627,16808.5698336242,153175.221263016,10.9469502920597
"704",2016,"Troms",1929,"Berg",836.66,0.946869946869947,1,0.999579124579124,NA,0.981828957349253,7949.14170272273,206784.422546882,3.77431598264432
"705",2017,"Troms",1929,"Berg",836.66,0.924444444444444,1,0.999579124579124,NA,0.97401579175297,19938.5248523893,242862.37313563,7.99647875450865
"706",2018,"Troms",1929,"Berg",836.66,1,1,0.999579124579124,0.693617724867725,0.912503082231761,7544.12372528865,143135.447262345,4.80945585718281
"707",2005,"Nordland",1804,"Bodo",3431.45,1,1,0.855652195299286,NA,0.949363265033388,99.7114278220577,59747.5723235912,0.158437176602927
"708",2006,"Nordland",1804,"Bodo",3431.45,1,1,0.961253638805471,NA,0.98691405116655,456.099515073803,121604.867684256,0.370158718749103
"709",2007,"Nordland",1804,"Bodo",3431.45,1,1,0.919757685577938,NA,0.972503430206818,41.9388654941788,149998.637316471,0.0271907073835749
"710",2008,"Nordland",1804,"Bodo",3431.45,0.958620581272961,1,0.923608574376131,NA,0.960236555000032,109.763375395241,178392.406948684,0.0590825625695046
"711",2009,"Nordland",1804,"Bodo",3431.45,0.958620581272961,1,0.999579124579124,NA,0.985873762868198,177.587885296303,206786.176580898,0.0846667991118732
"712",2010,"Nordland",1804,"Bodo",3431.45,1,1,0.952515151389882,NA,0.983914356581384,533.242523714465,100384.652468928,0.522654570911373
"713",2011,"Nordland",1804,"Bodo",3431.45,1,1,0.963816642548573,NA,0.987790413559101,399.51974850282,138621.566114261,0.284690029597082
