"","landing_municip_numb","landing_municip","landing_county","year","local_landings_NOK","local_landings_tonnes","total_landings_NOK","total_landings_tonnes","proportion_local_NOK","proportion_local_tonnes","mean_NOK_per_tonnes","fishing_industry_yes_no"
"131",1942,"Nordreisa","Troms","2018",1137.36493,84.82945,2158.74465,191.61397,52.6864041099071,44.2710153127144,11.2661130605456,1
"132",1868,"Oksnes","Nordland","2018",274791.09107,17220.32284,572523.59134,36193.42878,47.9964660367702,47.5785893198262,15.8184402704717,1
"133",2020,"Porsanger","Finnmark","2018",13618.93095,212.5867,93363.21405,724.15221,14.5870416829336,29.3566320815344,128.927610467418,1
"134",1833,"Rana","Nordland","2018",30.69,0.46035,121.96825,2.43917,25.162286086748,18.8732232685709,50.0039972613635,0
"135",1836,"Rodoy","Nordland","2018",10219.40924,954.36814,13583.7879,1198.04007,75.2323969958335,79.6607863040841,11.3383418803346,1
"136",1856,"Rost","Nordland","2018",46714.95721,3225.98017,232756.10025,14572.26157,20.0703470971649,22.1378140551728,15.9725447647177,1
"137",1923,"Salangen","Troms","2018",0,0,0,0,0,0,0,0
"138",1840,"Saltdal","Nordland","2018",0,0,3.1925,0.35825,0,0,8.91137473831123,0
"139",1913,"Skanland","Troms","2018",0,0,0,0,0,0,0,0
"140",1941,"Skjervoy","Troms","2018",24681.30014,1570.14902,70927.77666,6872.03046,34.7977919261624,22.8484001801121,10.3212255930542,1
"141",1812,"Somna","Nordland","2018",0,0,0,0,0,0,0,0
"142",2030,"Sor-Varanger","Finnmark","2018",15045.37482,249.11098,353395.28581,22885.32859,4.25737847224397,1.08851825753925,15.4420018231427,1
"143",1845,"Sorfold","Nordland","2018",1128.90589,138.00038,1221.16565,147.39001,92.4449430754951,93.6293986274918,8.28526743433968,1
"144",1925,"Sorreisa","Troms","2018",0,0,0,0,0,0,0,0
"145",1870,"Sortland","Nordland","2018",206250.97483,11032.85518,675617.35879,42334.69955,30.5277790966452,26.0610215668815,15.9589501277091,1
"146",1848,"Steigen","Nordland","2018",6877.03202,656.86405,10207.22641,887.90356,67.3741498793696,73.979211210731,11.4958728288014,1
"147",1939,"Storfjord","Troms","2018",0,0,0,0,0,0,0,0
"148",2025,"Tana","Finnmark","2018",8479.23424,89.75119,10809.82506,118.10357,78.4400690384531,75.9936299978062,91.5283514291736,1
"149",1852,"Tjeldsund","Nordland","2018",0,0,0,0,0,0,0,0
"150",1928,"Torsken","Troms","2018",21364.44683,1261.8372,49115.54189,3005.59222,43.4983429030432,41.9829806453252,16.3413857552506,1
"151",1835,"Traena","Nordland","2018",16128.7823,1446.17655,190951.80419,44495.37877,8.44651998362457,3.25017246729238,4.29149744239833,1
"152",1927,"Tranoy","Troms","2018",0,0,0,0,0,0,0,0
"153",1902,"Tromso","Troms","2018",275462.96979,11986.95853,4122499.89172,257596.82229,6.68194001273995,4.65337981402006,16.0036907872991,1
