"municip_name","municip_number","water_entity_id","vannregion","vannomrade","vassdragomrade","area","score","reliability_ecological_score","reliability_chemical_score","water_entity_class","reliability_eco_score_num","reliability_chem_score_num","area_km2","total_area_km2","area_prop"
"Brønnøy",1813,"lislfjorden_0361020800_1_c","Nordland","Bindalsfjorden-Velfjorden",148,1094424.25469388,75,"low","low","unmodified","0","0",1.09442425469388,963.011965013358,0.00113645966452629
"Brønnøy",1813,"heggefjorden_0361020400_c","Nordland","Bindalsfjorden-Velfjorden",148,3317552.76007776,75,"low","low","unmodified","0","0",3.31755276007776,963.011965013358,0.00344497563956201
"Brønnøy",1813,"sorfjorden_0361020200_c","Nordland","Bindalsfjorden-Velfjorden",148,8622881.14589096,75,"low","low","unmodified","0","0",8.62288114589096,963.011965013358,0.00895407477701625
"Brønnøy",1813,"litjeborja_0361020700_c","Nordland","Bindalsfjorden-Velfjorden",148,2529256.0308688,75,"low","low","unmodified","0","0",2.5292560308688,963.011965013358,0.00262640145995872
"Brønnøy",1813,"langfjorden_ytre_0361020500_2_c","Nordland","Bindalsfjorden-Velfjorden",148,1114278.72727594,50,"low","low","unmodified","0","0",1.11427872727594,963.011965013358,0.00115707672153428
"Vefsn",1824,"halsfjorden_0361030700_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,8768103.34249364,75,"low","low","unmodified","0","0",8.76810334249364,100.784870513198,0.0869982101266428
"Alstahaug",1820,"trosundet_0361030500_c","Nordland","Vefsnfjorden - Leirfjorden",149,5832887.13861884,75,"low","low","unmodified","0","0",5.83288713861884,399.152288131276,0.0146131872772842
"Vevelstad",1816,"visten_ytre_0361030202_5_c","Nordland","Vefsnfjorden - Leirfjorden",149,7553308.54673423,75,"high","low","unmodified","100","0",7.55330854673423,121.039858787282,0.0624034811541593
"Vefsn",1824,"stokkafjorden_0361030400_c","Nordland","Vefsnfjorden - Leirfjorden",149,3723457.88438546,75,"low","low","unmodified","0","0",3.72345788438546,100.784870513198,0.0369446114821161
"Vevelstad",1816,"stokkafjorden_0361030400_c","Nordland","Vefsnfjorden - Leirfjorden",149,3562076.69805211,75,"low","low","unmodified","0","0",3.56207669805211,121.039858787282,0.0294289561615582
"Alstahaug",1820,"stokkafjorden_0361030400_c","Nordland","Vefsnfjorden - Leirfjorden",149,8538072.8316337,75,"low","low","unmodified","0","0",8.5380728316337,399.152288131276,0.0213905145617646
"Leirfjord",1822,"vefsnfjorden_ytre_0361040102_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,5675566.78562142,100,"high","low","unmodified","100","0",5.67556678562142,131.301646172401,0.0432254046394005
"Vefsn",1824,"vefsnfjorden_ytre_0361040102_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,14081235.4745073,100,"high","low","unmodified","100","0",14.0812354745073,100.784870513198,0.139715766888478
"Alstahaug",1820,"vefsnfjorden_ytre_0361040102_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,15109937.1729539,100,"high","low","unmodified","100","0",15.1099371729539,399.152288131276,0.0378550684093397
"Vefsn",1824,"sorfjorden_0361030600_c","Nordland","Vefsnfjorden - Leirfjorden",149,2961889.23236557,75,"low","low","unmodified","0","0",2.96188923236557,100.784870513198,0.0293882327504476
"Vevelstad",1816,"langkilvagen_ytre_0361030202_3_c","Nordland","Vefsnfjorden - Leirfjorden",149,220017.499245398,75,"low","low","unmodified","0","0",0.220017499245398,121.039858787282,0.00181772765971301
"Vevelstad",1816,"langkilvagen_indre_0361030202_2_c","Nordland","Vefsnfjorden - Leirfjorden",149,324223.590043099,75,"low","low","unmodified","0","0",0.324223590043099,121.039858787282,0.00267865142351907
"Vevelstad",1816,"visten_midtre_0361030202_4_c","Nordland","Vefsnfjorden - Leirfjorden",149,7290622.97304348,75,"low","low","unmodified","0","0",7.29062297304348,121.039858787282,0.0602332409017116
"Vevelstad",1816,"mindvaerfjorden_0361030300_c","Nordland","Vefsnfjorden - Leirfjorden",149,16960098.7219251,100,"high","low","unmodified","100","0",16.9600987219251,121.039858787282,0.140119948022504
"Alstahaug",1820,"mindvaerfjorden_0361030300_c","Nordland","Vefsnfjorden - Leirfjorden",149,20080010.1929107,100,"high","low","unmodified","100","0",20.0800101929107,399.152288131276,0.0503066393203455
"Vevelstad",1816,"strandbukta_0361030202_1_c","Nordland","Vefsnfjorden - Leirfjorden",149,988077.536128987,75,"low","low","unmodified","0","0",0.988077536128987,121.039858787282,0.00816324098547949
"Vevelstad",1816,"innervisten_0361030201_c","Nordland","Vefsnfjorden - Leirfjorden",149,5423147.3849665,75,"low","low","unmodified","0","0",5.4231473849665,121.039858787282,0.0448046407134138
"Alstahaug",1820,"tjotta_havn_0361030800_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,456368.290235842,25,"low",NA,"modified","0",NA,0.456368290235842,399.152288131276,0.00114334379084343
"Vefsn",1824,"tjottfjorden_indre_0361030800_2_c","Nordland","Vefsnfjorden - Leirfjorden",150,2430094.99857841,75,"high","low","unmodified","100","0",2.43009499857841,100.784870513198,0.024111704328282
"Alstahaug",1820,"tjottfjorden_indre_0361030800_2_c","Nordland","Vefsnfjorden - Leirfjorden",150,47957129.7875888,75,"high","low","unmodified","100","0",47.9571297875888,399.152288131276,0.120147450518476
"Alstahaug",1820,"sandnessjoen_smabathavn_0361040700_4_c","Nordland","Vefsnfjorden - Leirfjorden",150,56810.7702082138,25,"low",NA,"modified","0",NA,0.0568107702082138,399.152288131276,0.000142328559543493
"Alstahaug",1820,"sandnesvagen_0361040500_2_c","Nordland","Vefsnfjorden - Leirfjorden",150,221682.786917407,25,"low",NA,"modified","0",NA,0.221682786917407,399.152288131276,0.000555383981275083
"Alstahaug",1820,"rosoyvalen_alstahaugfjorden_0361031100_c","Nordland","Vefsnfjorden - Leirfjorden",150,20158247.9536504,75,"low","low","unmodified","0","0",20.1582479536504,399.152288131276,0.0505026491217824
"Leirfjord",1822,"leirfjorden_leinesodden_0361040500_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,541563.849081418,75,"low","low","unmodified","0","0",0.541563849081418,131.301646172401,0.00412457775563862
"Alstahaug",1820,"leirfjorden_leinesodden_0361040500_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,1836258.42846483,75,"low","low","unmodified","0","0",1.83625842846483,399.152288131276,0.00460039559603103
"Alstahaug",1820,"botnfjorden_0361040400_c","Nordland","Vefsnfjorden - Leirfjorden",150,9565102.33317841,75,"low","low","unmodified","0","0",9.56510233317841,399.152288131276,0.0239635412788429
"Leirfjord",1822,"leirfjorden_ytre_0361040300_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,23659566.6449941,75,"low","low","unmodified","0","0",23.6595666449941,131.301646172401,0.180192460145768
"Alstahaug",1820,"leirfjorden_ytre_0361040300_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,4351213.67023952,75,"low","low","unmodified","0","0",4.35121367023952,399.152288131276,0.0109011367330768
"Alstahaug",1820,"sandnessjoen_havn_0361040700_2_c","Nordland","Vefsnfjorden - Leirfjorden",150,193664.868345605,0,"low",NA,"modified","0",NA,0.193664868345605,399.152288131276,0.000485190425068818
"Leirfjord",1822,"vefsnfjorden_midtre_0361040102_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,4605773.60647575,75,"low","high","unmodified","0","100",4.60577360647575,131.301646172401,0.0350778055016028
"Vefsn",1824,"vefsnfjorden_midtre_0361040102_1_c","Nordland","Vefsnfjorden - Leirfjorden",150,3071578.48530288,75,"low","high","unmodified","0","100",3.07157848530288,100.784870513198,0.0304765831385442
"Alstahaug",1820,"hamnesleia_0361031000_c","Nordland","Vefsnfjorden - Leirfjorden",150,15215737.5986604,75,"low","low","unmodified","0","0",15.2157375986604,399.152288131276,0.0381201312158235
"Alstahaug",1820,"tjotta_0361030900_c","Nordland","Vefsnfjorden - Leirfjorden",150,5199221.14233672,75,"low","low","unmodified","0","0",5.19922114233672,399.152288131276,0.0130256578677729
"Leirfjord",1822,"sundet_0361040200_c","Nordland","Vefsnfjorden - Leirfjorden",150,8866525.48774912,75,"low","low","unmodified","0","0",8.86652548774912,131.301646172401,0.0675279080363338
"Alstahaug",1820,"tjottfjorden_ytre_0361031200_c","Nordland","Vefsnfjorden - Leirfjorden",150,51486334.3332203,75,"low","low","unmodified","0","0",51.4863343332203,399.152288131276,0.128989200022542
"Leirfjord",1822,"vefsnfjorden_indre_0361040101_c","Nordland","Vefsnfjorden - Leirfjorden",151,731241.949058559,75,"high","high","unmodified","100","100",0.731241949058559,131.301646172401,0.00556917579006152
"Vefsn",1824,"vefsnfjorden_indre_0361040101_c","Nordland","Vefsnfjorden - Leirfjorden",151,51138686.7528165,75,"high","high","unmodified","100","100",51.1386867528165,100.784870513198,0.507404400009821
"Dønna",1827,"ranfjorden_lokta_0362010400_c","Nordland","Ranfjorden",153,20467388.4335527,100,"high","low","unmodified","100","0",20.4673884335527,563.800982919631,0.0363025057664192
"Leirfjord",1822,"ranfjorden_lokta_0362010400_c","Nordland","Ranfjorden",153,36051896.8225851,100,"high","low","unmodified","100","0",36.0518968225851,131.301646172401,0.274573075612841
"Nesna",1828,"ranfjorden_lokta_0362010400_c","Nordland","Ranfjorden",153,18558300.1797608,100,"high","low","unmodified","100","0",18.5583001797608,219.095145502547,0.0847042965611717
"Leirfjord",1822,"leirfjorden_indre_0361040300_2_c","Nordland","Vefsnfjorden - Leirfjorden",153,7298754.97244852,75,"low","low","unmodified","0","0",7.29875497244852,131.301646172401,0.055587688237093
