"water_entity_id","okologisk_tilstand","okologisk_palitelighetsgrad","kjemisk_tilstand","kjemisk_palitelighetsgrad","num_status_eco","num_status_chem"
"lyngen-indre_0403030100-1-c","god","lav","ukjent","lav",75,NA
"lyngen-ytre_0403030100-2-c","svaert_god","middels","ukjent","lav",100,NA
"lyngseidet_0403030200-c","god","lav","ukjent","lav",75,NA
"pollen_0403030300-c","god","lav","ukjent","lav",75,NA
"storfjorden-indre_0403030401-c","god","lav","ukjent","lav",75,NA
"storfjorden-ytre_0403030402-c","god","lav","ukjent","lav",75,NA
"kafjorden-indre_0403030501-c","god","middels","ukjent","lav",75,NA
"kafjorden-ytre_0403030502-c","svaert_god","lav","ukjent","lav",100,NA
"rotsundet_sor_0403030600-1-c","god","middels","ukjent","lav",75,NA
"rotsundet_nord_0403030600-2-c","god","lav","ukjent","lav",75,NA
"maursundet_0403030700-c","god","lav","ukjent","lav",75,NA
"kjolmangen_0403030800-c","svaert_god","middels","ukjent","lav",100,NA
"kagsundet_0403030900-c","god","lav","ukjent","lav",75,NA
"langfjorden_0403031000-c","god","lav","ukjent","lav",75,NA
"kvaenangsbotnen_0403040101-c","god","lav","ukjent","lav",75,NA
"kvaenangen_-_aroyan_0403040102-1-c","god","lav","ukjent","lav",75,NA
"sorstraumen__kvaenangen_0403040102-2-c","god","lav","ukjent","lav",75,NA
"badderfjorden_0403040103-c","god","middels","ukjent","lav",75,NA
"kvaenangen_haukoy_0403040104-1-c","god","lav","ukjent","lav",75,NA
"kvaenangen_skorpa_-_spildra_0403040104-3-c","god","lav","ukjent","lav",75,NA
"kvaenangen_-_ytre_0403040104-4-c","moderat","lav","ukjent","lav",50,NA
"lauksundet_0403040200-c","god","lav","ukjent","lav",75,NA
"reisaelva-utlop_0403040401-1-c","god","lav","darlig","lav",75,0
"reisafjorden-indre_0403040401-2-c","god","lav","ukjent","lav",75,NA
"reisafjorden-ytre_0403040402-c","god","lav","ukjent","lav",75,NA
"straumfjorden_0403040500-1-c","god","lav","ukjent","lav",75,NA
"straumfjordnes_-_straumfjorden_0403040500-2-c","god","lav","ukjent","lav",75,NA
"oksfjorden_0403040600-c","god","lav","ukjent","lav",75,NA
