"Year","Municip_number","Species","SSB","Stock","Flim","Blim","Fmsy","MSYBtrigger","F","b_score","f_score","stock_score","Total_catch_new","Municip_name_new","catch_runmean","Seaarea","catch_per_area","max_catch_area","weighted_catch","weighted_catch_score","total_tons","catch_prop","fish_score"
1998,"1820","Haddock",160426,"had.27.1-2",0.77,50000,0.35,80000,0.46,1,0.738095238095238,0.869047619047619,0.049,"Alstahaug",6.27386666666667,397.61,0.0157789458682293,2.34939648463163,0.00671616986381221,0.00583667142926538,48.5481,0.129229911503574,0.231166816729733
1999,"1820","Haddock",115023,"had.27.1-2",0.77,50000,0.35,80000,0.466,1,0.723809523809524,0.861904761904762,0.1036,"Alstahaug",0.225866666666665,397.61,0.00056806083012667,1.7754590042148,0.000319951532971551,0.000275767749846908,2.06383333333333,0.10944036178632,0.0295303018525971
2005,"1820","Haddock",174816,"had.27.1-2",0.77,50000,0.35,80000,0.436,1,0.795238095238095,0.897619047619048,0.525,"Alstahaug",0.246399999999999,397.61,0.000619702723774549,3.08364587108965,0.000200964296706213,0.000180389380614863,1.48903333333333,0.165476483624723,0.0223814582590697
2006,"1820","Haddock",172205,"had.27.1-2",0.77,50000,0.35,80000,0.389,1,0.907142857142857,0.953571428571429,0.1106,"Alstahaug",0.230066666666665,397.61,0.000578623944736463,2.76571598064943,0.000209213074945097,0.000199499610751218,1.16719999999999,0.197109892620516,0.0187711605992008
2007,"1820","Haddock",179156,"had.27.1-2",0.77,50000,0.35,80000,0.355,1,0.988095238095238,0.994047619047619,0.0546,"Alstahaug",0.0704666666666652,397.61,0.00017722558956431,2.34137256607658,0.0000756930324255423,0.0000752424786611045,0.511633333333327,0.137728842269854,0.00973781440942332
2008,"1820","Haddock",198050,"had.27.1-2",0.77,50000,0.35,80000,0.291,1,1,1,0.0462,"Alstahaug",0.0881999999999985,397.61,0.00022182540680566,1.98159154065117,0.000111943052972847,0.000111943052972847,0.79046666666666,0.111579657586235,0.0183443760080823
2009,"1820","Haddock",211140,"had.27.1-2",0.77,50000,0.35,80000,0.259,1,1,1,0.1638,"Alstahaug",0.0746666666666652,397.61,0.000187788704174103,2.09316503076083,0.0000897151927413221,0.0000897151927413221,0.81366666666666,0.0917656698074549,0.0165603626475926
2011,"1820","Haddock",432296,"had.27.1-2",0.77,50000,0.35,80000,0.232,1,1,1,0.014,"Alstahaug",0.0639333333333318,397.61,0.000160794077949075,4.06676078562143,0.0000395386122826757,0.0000395386122826757,2.20156666666666,0.0290399261132218,0.179040568123879
2013,"1820","Haddock",604134,"had.27.1-2",0.77,50000,0.35,80000,0.164,1,1,1,0.014,"Alstahaug",0.0639333333333318,397.61,0.000160794077949075,3.93205063333962,0.0000408931860097915,0.0000408931860097915,0.726933333333326,0.0879493763756408,0.022287536052679
1994,"1820","Saithe",147869,"pok.27.1-2",0.58,136000,NA,220000,0.477,0.141297619047619,NA,0.141297619047619,10.1888,"Alstahaug",10.3572666666667,397.61,0.0260488082962367,3.87417625720179,0.00672370242520948,0.000950043143866802,102.439766666667,0.101105918176958,0.818523910064606
1995,"1820","Saithe",196889,"pok.27.1-2",0.58,136000,NA,220000,0.372,0.724869047619048,NA,0.724869047619048,12.4122,"Alstahaug",10.3572666666667,397.61,0.0260488082962367,3.87417625720179,0.00672370242520948,0.00487380377343548,102.439766666667,0.101105918176958,0.85819545218052
