"","Year","Municip_number","Municip_name_new","Species","Spp_year","SSB","Bmsy","SSB.Bmsy","Blim","Seaarea","Total_catch_new","Blim.Bmsy","stock_score"
"140",1994,1874,"Moskenes","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1473.84,1965.9522,0.618181818181818,0.0816691176470588
"141",1994,1901,"Harstad","Cod","Cod_1994",592309,460000,1.28762826086957,220000,NA,6465.5592,0.478260869565217,1
"142",1994,1901,"Harstad","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,NA,2902.44,0.785175879396985,1
"143",1994,1901,"Harstad","Haddock","Haddock_1994",163487,80000,2.0435875,50000,NA,460.4886,0.625,1
"144",1994,1901,"Harstad","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,NA,2176.5892,0.618181818181818,0.0816691176470588
"145",1994,1902,"Tromso","Cod","Cod_1994",592309,460000,1.28762826086957,220000,2767.33,37823.5752,0.478260869565217,1
"146",1994,1902,"Tromso","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,2767.33,136033.374,0.785175879396985,1
"147",1994,1902,"Tromso","Haddock","Haddock_1994",163487,80000,2.0435875,50000,2767.33,2838.117,0.625,1
"148",1994,1902,"Tromso","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,2767.33,30812.6128,0.618181818181818,0.0816691176470588
"149",1994,1911,"Kvaefjord","Cod","Cod_1994",592309,460000,1.28762826086957,220000,189.03,1128.429,0.478260869565217,1
"150",1994,1911,"Kvaefjord","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,189.03,632.775,0.785175879396985,1
"151",1994,1911,"Kvaefjord","Haddock","Haddock_1994",163487,80000,2.0435875,50000,189.03,29.5764,0.625,1
"152",1994,1911,"Kvaefjord","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,189.03,88.0808,0.618181818181818,0.0816691176470588
"153",1994,1913,"Skanland","Cod","Cod_1994",592309,460000,1.28762826086957,220000,85.75,1.8,0.478260869565217,1
"154",1994,1915,"Harstad","Cod","Cod_1994",592309,460000,1.28762826086957,220000,NA,6465.5592,0.478260869565217,1
"155",1994,1915,"Harstad","Haddock","Haddock_1994",163487,80000,2.0435875,50000,NA,460.4886,0.625,1
"156",1994,1915,"Harstad","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,NA,2176.5892,0.618181818181818,0.0816691176470588
"157",1994,1917,"Ibestad","Cod","Cod_1994",592309,460000,1.28762826086957,220000,351.66,1.125,0.478260869565217,1
"158",1994,1917,"Ibestad","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,351.66,555.33,0.785175879396985,1
"159",1994,1919,"Gratangen","Cod","Cod_1994",592309,460000,1.28762826086957,220000,61.93,11.781,0.478260869565217,1
"160",1994,1919,"Gratangen","Haddock","Haddock_1994",163487,80000,2.0435875,50000,61.93,0.4452,0.625,1
"161",1994,1919,"Gratangen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,61.93,1.9284,0.618181818181818,0.0816691176470588
"162",1994,1920,"Lavangen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,22.93,0.162,0.618181818181818,0.0816691176470588
"163",1994,1924,"Malselv","Cod","Cod_1994",592309,460000,1.28762826086957,220000,34.32,0.585,0.478260869565217,1
"164",1994,1924,"Malselv","Haddock","Haddock_1994",163487,80000,2.0435875,50000,34.32,0.462,0.625,1
"165",1994,1926,"Dyroy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,181.21,3114.2328,0.478260869565217,1
"166",1994,1926,"Dyroy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,181.21,153.9342,0.625,1
"167",1994,1926,"Dyroy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,181.21,275.992,0.618181818181818,0.0816691176470588
"168",1994,1927,"Tranoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,414.56,82.206,0.478260869565217,1
"169",1994,1927,"Tranoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,414.56,7.4844,0.625,1
"170",1994,1927,"Tranoy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,414.56,4.181,0.618181818181818,0.0816691176470588
"171",1994,1928,"Torsken","Cod","Cod_1994",592309,460000,1.28762826086957,220000,832.68,32394.549,0.478260869565217,1
"172",1994,1928,"Torsken","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,832.68,4947.875,0.785175879396985,1
"173",1994,1928,"Torsken","Haddock","Haddock_1994",163487,80000,2.0435875,50000,832.68,903.9603,0.625,1
"174",1994,1928,"Torsken","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,832.68,2015.7134,0.618181818181818,0.0816691176470588
"175",1994,1929,"Berg","Cod","Cod_1994",592309,460000,1.28762826086957,220000,836.66,21161.889,0.478260869565217,1
"176",1994,1929,"Berg","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,836.66,1135.925,0.785175879396985,1
"177",1994,1929,"Berg","Haddock","Haddock_1994",163487,80000,2.0435875,50000,836.66,1006.3242,0.625,1
"178",1994,1929,"Berg","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,836.66,728.9148,0.618181818181818,0.0816691176470588
"179",1994,1931,"Lenvik","Cod","Cod_1994",592309,460000,1.28762826086957,220000,702.95,32071.8906,0.478260869565217,1
"180",1994,1931,"Lenvik","Herring","Herring_1994",3431000,3184000,1.07757537688442,2500000,702.95,6423.215,0.785175879396985,1
"181",1994,1931,"Lenvik","Haddock","Haddock_1994",163487,80000,2.0435875,50000,702.95,552.8088,0.625,1
"182",1994,1931,"Lenvik","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,702.95,2344.746,0.618181818181818,0.0816691176470588
"183",1994,1933,"Balsfjord","Cod","Cod_1994",592309,460000,1.28762826086957,220000,244.81,7.11,0.478260869565217,1
"184",1994,1933,"Balsfjord","Haddock","Haddock_1994",163487,80000,2.0435875,50000,244.81,0.8778,0.625,1
"185",1994,1936,"Karlsoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,4796.75,33484.1874,0.478260869565217,1
"186",1994,1936,"Karlsoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,4796.75,2012.9205,0.625,1
"187",1994,1936,"Karlsoy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,4796.75,537.2616,0.618181818181818,0.0816691176470588
"188",1994,1938,"Lyngen","Cod","Cod_1994",592309,460000,1.28762826086957,220000,487.07,2371.9686,0.478260869565217,1
"189",1994,1938,"Lyngen","Haddock","Haddock_1994",163487,80000,2.0435875,50000,487.07,273.8487,0.625,1
"190",1994,1938,"Lyngen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,487.07,286.9442,0.618181818181818,0.0816691176470588
"191",1994,1939,"Storfjord","Cod","Cod_1994",592309,460000,1.28762826086957,220000,62.6,5.751,0.478260869565217,1
"192",1994,1939,"Storfjord","Haddock","Haddock_1994",163487,80000,2.0435875,50000,62.6,0.294,0.625,1
"193",1994,1940,"Kafjord","Cod","Cod_1994",592309,460000,1.28762826086957,220000,124.17,20.484,0.478260869565217,1
"194",1994,1940,"Kafjord","Haddock","Haddock_1994",163487,80000,2.0435875,50000,124.17,0.1176,0.625,1
"195",1994,1940,"Kafjord","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,124.17,2.7812,0.618181818181818,0.0816691176470588
"196",1994,1941,"Skjervoy","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1088,15966.3576,0.478260869565217,1
"197",1994,1941,"Skjervoy","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1088,2916.6798,0.625,1
"198",1994,1941,"Skjervoy","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1088,840.0368,0.618181818181818,0.0816691176470588
"199",1994,1942,"Nordreisa","Cod","Cod_1994",592309,460000,1.28762826086957,220000,243.72,11905.4526,0.478260869565217,1
"200",1994,1942,"Nordreisa","Haddock","Haddock_1994",163487,80000,2.0435875,50000,243.72,340.5789,0.625,1
"201",1994,1942,"Nordreisa","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,243.72,550.3242,0.618181818181818,0.0816691176470588
"202",1994,1943,"Kvaenangen","Cod","Cod_1994",592309,460000,1.28762826086957,220000,573.01,11642.0154,0.478260869565217,1
"203",1994,1943,"Kvaenangen","Haddock","Haddock_1994",163487,80000,2.0435875,50000,573.01,218.3466,0.625,1
"204",1994,1943,"Kvaenangen","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,573.01,1798.6954,0.618181818181818,0.0816691176470588
"205",1994,2002,"Vardo","Cod","Cod_1994",592309,460000,1.28762826086957,220000,1886.91,38099.0592,0.478260869565217,1
"206",1994,2002,"Vardo","Haddock","Haddock_1994",163487,80000,2.0435875,50000,1886.91,8182.9947,0.625,1
"207",1994,2002,"Vardo","Saithe","Saithe_1994",147107,220000,0.668668181818182,136000,1886.91,441.4704,0.618181818181818,0.0816691176470588
"208",1994,2003,"Vadso","Cod","Cod_1994",592309,460000,1.28762826086957,220000,705.34,2097.4644,0.478260869565217,1
"209",1994,2003,"Vadso","Haddock","Haddock_1994",163487,80000,2.0435875,50000,705.34,317.0541,0.625,1
