Year,Municip_number,Municip_name_new,fish_score,runmean
2006,2002,Vardo,84.2645944117285,86.04133397559833
2007,2002,Vardo,88.85365528035858,86.74781355716843
2008,2002,Vardo,84.70093680266257,87.39528866598992
2009,2002,Vardo,89.770363108239,89.84699762178725
2010,2002,Vardo,89.38689372696099,91.66965150636133
2011,2002,Vardo,96.5231391907151,94.58848913664706
2012,2002,Vardo,97.966924703229,95.84063306098398
2013,2002,Vardo,99.29512495409122,97.56689042127013
2014,2002,Vardo,96.03108272992357,97.73408486929787
2015,2002,Vardo,98.01818052839177,97.01020167285627
2016,2002,Vardo,97.35911143085384,NA
2017,2002,Vardo,94.34750872102096,NA
1994,2003,Vadso,53.59426036674706,NA
1995,2003,Vadso,82.7420620580748,NA
1996,2003,Vadso,76.45812307829638,69.30328656623433
1997,2003,Vadso,85.45939798875771,64.01456026368308
1998,2003,Vadso,48.262589339295715,67.34623627177055
1999,2003,Vadso,27.15062885399085,70.86836383562937
2000,2003,Vadso,99.40044209851207,73.77613054515794
2001,2003,Vadso,94.0687608975905,65.8339775118387
2002,2003,Vadso,99.99823153640064,61.53409519840693
2004,2003,Vadso,8.551824172699451,43.193737692613986
2005,2003,Vadso,5.651217286832037,24.38817157866968
2006,2003,Vadso,7.69865456954732,24.187815298746017
2007,2003,Vadso,0.04093032786897981,40.58910661282445
2009,2003,Vadso,98.99645013678231,58.75660629541543
2010,2003,Vadso,90.55828074309164,75.09050330199288
2011,2003,Vadso,96.48871569978691,93.96595296184087
2012,2003,Vadso,89.36813960243458,90.98566918530949
2013,2003,Vadso,94.4181786271089,88.16008153527133
2014,2003,Vadso,84.09503125412546,77.08526293658936
2015,2003,Vadso,76.43034249290082,71.02977171113034
2016,2003,Vadso,41.114622706377034,NA
2017,2003,Vadso,59.09068347513947,NA
1994,2004,Hammerfest,83.84932941920519,NA
1995,2004,Hammerfest,89.23155293445222,NA
1996,2004,Hammerfest,88.91996321590278,86.2972087950865
1997,2004,Hammerfest,95.18565960870058,77.29531087015688
